cell,model,ctx,n,gen_match,answer_ce
niah_multikey_1-essay,gdn1536_16k,16384,500,0.058,13.497954322814941
niah_multikey_1-essay,gdn1536_16k,2048,500,0.14,4.462236014604568
niah_multikey_1-essay,gdn1536_16k,4096,500,0.148,4.9204314868450165
niah_multikey_1-essay,gdn1536_16k,8192,500,0.056,8.184252152770757
niah_multikey_1-essay,lema1536_h64,16384,500,0.022,11.187861162662506
niah_multikey_1-essay,lema1536_h64,2048,500,0.122,7.372810090243816
niah_multikey_1-essay,lema1536_h64,4096,500,0.058,8.215365038275719
niah_multikey_1-essay,lema1536_h64,8192,500,0.02,9.40669673204422
niah_multikey_1-essay,rope1536_16k,16384,500,0.51,3.1729750418663025
niah_multikey_1-essay,rope1536_16k,2048,500,0.564,3.2326669025421144
niah_multikey_1-essay,rope1536_16k,4096,500,0.508,3.323000402212143
niah_multikey_1-essay,rope1536_16k,8192,500,0.558,3.0800989585518836
niah_multikey_2-needle,gdn1536_16k,16384,500,0.0,17.008117948532103
niah_multikey_2-needle,gdn1536_16k,2048,500,0.002,13.406339600563049
niah_multikey_2-needle,gdn1536_16k,4096,500,0.0,15.5371576089859
niah_multikey_2-needle,gdn1536_16k,8192,500,0.0,16.451650442123412
niah_multikey_2-needle,lema1536_h64,16384,500,0.0,17.94412386703491
niah_multikey_2-needle,lema1536_h64,2048,500,0.002,15.318469617843627
niah_multikey_2-needle,lema1536_h64,4096,500,0.002,16.448220362663267
niah_multikey_2-needle,lema1536_h64,8192,500,0.0,17.378449303627015
niah_multikey_2-needle,rope1536_16k,16384,500,0.004,10.425116943359376
niah_multikey_2-needle,rope1536_16k,2048,500,0.058,6.875895771026611
niah_multikey_2-needle,rope1536_16k,4096,500,0.03,7.655099718093872
niah_multikey_2-needle,rope1536_16k,8192,500,0.006,9.381841761589051
niah_single_1-noise,gdn1536_16k,16384,500,0.386,2.800306494116783
niah_single_1-noise,gdn1536_16k,2048,500,0.986,0.8492309952378273
niah_single_1-noise,gdn1536_16k,32768,500,0.22,4.3505233214497565
niah_single_1-noise,gdn1536_16k,4096,500,0.866,1.1955298707187176
niah_single_1-noise,gdn1536_16k,65536,500,0.1,7.9143098949790005
niah_single_1-noise,gdn1536_16k,8192,500,0.61,1.8270511797666549
niah_single_1-noise,lema1536_h64,16384,500,0.912,1.315034749865532
niah_single_1-noise,lema1536_h64,2048,500,0.928,1.2709988036751747
niah_single_1-noise,lema1536_h64,32768,500,0.902,1.3231065327525138
niah_single_1-noise,lema1536_h64,4096,500,0.918,1.2834139479398727
niah_single_1-noise,lema1536_h64,65536,500,0.894,1.32477916264534
niah_single_1-noise,lema1536_h64,8192,500,0.908,1.314647655427456
niah_single_1-noise,rope1536_16k,16384,500,0.996,1.1320315805077552
niah_single_1-noise,rope1536_16k,2048,500,0.942,1.734031027138233
niah_single_1-noise,rope1536_16k,4096,500,0.966,1.619002817928791
niah_single_1-noise,rope1536_16k,8192,500,0.986,1.306732007622719
niah_single_2-essay,gdn1536_16k,16384,500,0.048,14.777619124889373
niah_single_2-essay,gdn1536_16k,2048,500,0.456,3.318136005163193
niah_single_2-essay,gdn1536_16k,32768,500,0.042,17.806505062580108
niah_single_2-essay,gdn1536_16k,4096,500,0.32,4.249522223711014
niah_single_2-essay,gdn1536_16k,65536,500,,20.345466282129287
niah_single_2-essay,gdn1536_16k,8192,500,0.082,8.507314734220504
niah_single_2-essay,lema1536_h64,16384,500,0.004,10.777269891023636
niah_single_2-essay,lema1536_h64,2048,500,0.082,6.065644650161266
niah_single_2-essay,lema1536_h64,32768,500,0.008,12.677123185396194
niah_single_2-essay,lema1536_h64,4096,500,0.05,7.465772777616977
niah_single_2-essay,lema1536_h64,65536,500,0.004,15.58386351442337
niah_single_2-essay,lema1536_h64,8192,500,0.022,8.579203570067882
niah_single_2-essay,rope1536_16k,16384,500,0.74,1.8926500777304172
niah_single_2-essay,rope1536_16k,2048,500,0.99,1.024454931795597
niah_single_2-essay,rope1536_16k,4096,500,0.942,0.9290116012394428
niah_single_2-essay,rope1536_16k,8192,500,0.882,1.2315819635987282
niah_single_3-essay,gdn1536_16k,16384,500,0.004,60.53454698848724
niah_single_3-essay,gdn1536_16k,2048,500,0.12,5.702644041061402
niah_single_3-essay,gdn1536_16k,4096,500,0.004,8.632129214286804
niah_single_3-essay,gdn1536_16k,8192,500,0.012,26.38189466500282
niah_single_3-essay,lema1536_h64,16384,500,0.0,26.677034383773805
niah_single_3-essay,lema1536_h64,2048,500,0.01,16.35620463848114
niah_single_3-essay,lema1536_h64,4096,500,0.0,18.068634159088134
niah_single_3-essay,lema1536_h64,8192,500,0.002,22.450991112709044
niah_single_3-essay,rope1536_16k,16384,500,0.35,4.819080380558968
niah_single_3-essay,rope1536_16k,2048,500,0.828,1.7616584236621857
niah_single_3-essay,rope1536_16k,4096,500,0.682,2.2938833102583884
niah_single_3-essay,rope1536_16k,8192,500,0.44,3.332365735888481
